"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"229","Binghamton","31","11-20","2147","69.3","2181","70.4","-1.1"
"230","Pacific","32","14-18","2280","71.3","2316","72.4","-1.1"
"231","Monmouth","31","11-20","2336","75.4","2372","76.5","-1.2"
"232","Fairleigh Dickinson","31","13-18","2313","74.6","2350","75.8","-1.2"
"233","Boston U.","31","15-16","2186","70.5","2226","71.8","-1.3"
"234","Fairfield","33","17-16","2506","75.9","2549","77.2","-1.3"
"235","Stony Brook","32","13-19","2205","68.9","2249","70.3","-1.4"
"236","Southern Miss.","34","16-18","2401","70.6","2449","72.0","-1.4"
"237","Prairie View","34","16-18","2559","75.3","2609","76.7","-1.5"
"238","Gardner-Webb","32","14-18","2258","70.6","2307","72.1","-1.5"
"239","Vanderbilt","32","12-20","2316","72.4","2368","74.0","-1.6"
"240","Illinois St.","33","18-15","2364","71.6","2418","73.3","-1.6"
"241","Eastern Ill.","31","12-19","2065","66.6","2120","68.4","-1.8"
"242","Southeast Mo. St.","31","14-17","2355","76.0","2413","77.8","-1.9"
"243","Robert Morris","33","16-17","2272","68.8","2334","70.7","-1.9"
"244","DePaul","31","11-20","2230","71.9","2289","73.8","-1.9"
"245","Bowling Green","32","16-16","2429","75.9","2490","77.8","-1.9"
"246","Brown","27","11-16","2080","77.0","2133","79.0","-2.0"
"247","Texas Southern","36","16-20","2787","77.4","2859","79.4","-2.0"
"248","Morgan St.","32","13-19","2273","71.0","2338","73.1","-2.0"
"249","Grambling","31","17-14","2255","72.7","2321","74.9","-2.1"
"250","Georgia Tech","32","13-19","2101","65.7","2170","67.8","-2.2"
"251","McNeese","28","11-17","2099","75.0","2161","77.2","-2.2"
"252","James Madison","32","10-22","2341","73.2","2414","75.4","-2.3"
"253","Ole Miss","32","12-20","2426","75.8","2500","78.1","-2.3"
"254","Jacksonville","33","15-18","2405","72.9","2482","75.2","-2.3"
"","UMass Lowell","30","12-18","2286","76.2","2356","78.5","-2.3"
"256","Iowa St.","31","13-18","2258","72.8","2339","75.5","-2.6"
"257","Stetson","32","12-20","2412","75.4","2496","78.0","-2.6"
"258","Delaware","33","14-19","2338","70.8","2428","73.6","-2.7"
"","Southern U.","33","15-18","2279","69.1","2369","71.8","-2.7"
"260","Northern Ill.","32","13-19","2319","72.5","2407","75.2","-2.8"
"261","Massachusetts","33","13-20","2374","71.9","2465","74.7","-2.8"
"262","Montana St.","32","13-19","2434","76.1","2524","78.9","-2.8"
"263","Elon","32","14-18","2346","73.3","2437","76.2","-2.8"
