 


  
  

NCAA Men's Basketball
Division ITotal Minutes
Through Games 04/02/2016


"Rank","Name","Team","Cl","Ht","Pos","G","MP"
"","Kory Holden","Delaware","So.","6-2","G","30","1088:00"
"","Ky Howard","NJIT","Sr.","6-3","G","34","1088:00"
"","Abdel Nader","Iowa St.","Sr.","6-6","F","35","1088:00"
"231","Trey Davis","Massachusetts","Sr.","6-0","G","32","1087:00"
"","Kahron Ross","Lehigh","So.","5-11","G","32","1087:00"
"233","J.C. Hampton","Lipscomb","Jr.","6-1","G","33","1086:00"
"","Jason McManamen","Wyoming","Jr.","6-5","G","31","1086:00"
"","Jameel Warney","Stony Brook","Sr.","6-8","F","33","1086:00"
"236","Roderick Bobbitt","Hawaii","Sr.","6-3","G","32","1085:00"
"","Peter Hooley","Albany (NY)","Sr.","6-4","G","33","1085:00"
"238","Trey Kell","San Diego St.","So.","6-4","G","38","1084:00"
"","Tre' McLean","Chattanooga","Jr.","6-5","G","35","1084:00"
"240","Tyler Dorsey","Oregon","Fr.","6-4","G","36","1083:00"
"241","Beau Beech","North Florida","Sr.","6-9","G","34","1082:00"
"","Nick Faust","Long Beach St.","Sr.","6-6","G","35","1082:00"
"","Egidijus Mockevicius","Evansville","Sr.","6-10","C","34","1082:00"
"","Yettra Specks","Jackson St.","Jr.","5-10","G","36","1082:00"
"245","David Blanks","Texas Southern","Sr.","6-2","G","33","1080:00"
"","Jimmy Gavin","Winthrop","Sr.","6-3","G","32","1080:00"
"","Armani Moore","Tennessee","Sr.","6-4","F","33","1080:00"
"","Isaiah Williams","Iona","Sr.","6-7","G","33","1080:00"
"","Walter Wright","Montana","Jr.","5-10","G","33","1080:00"
"250","Elijah Brown","New Mexico","So.","6-4","G","32","1078:00"
"","Michael Bryson","UC Santa Barbara","Sr.","6-4","G","32","1078:00"
"","Darius Jones-Gibson","Samford","Sr.","6-1","G","33","1078:00"
"","Zach LeDay","Virginia Tech","Jr.","6-7","F","35","1078:00"
"","Tim Williams","New Mexico","Jr.","6-8","F","32","1078:00"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
