NCAA Men's Basketball Division IScoring Margin Through Games 03/10/2018

"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"254","Jacksonville","33","15-18","2405","72.9","2482","75.2","-2.3"
"","UMass Lowell","30","12-18","2286","76.2","2356","78.5","-2.3"
"256","Iowa St.","31","13-18","2258","72.8","2339","75.5","-2.6"
"257","Stetson","32","12-20","2412","75.4","2496","78.0","-2.6"
"258","Delaware","33","14-19","2338","70.8","2428","73.6","-2.7"
"","Southern U.","33","15-18","2279","69.1","2369","71.8","-2.7"
"260","Northern Ill.","32","13-19","2319","72.5","2407","75.2","-2.8"
"261","Massachusetts","33","13-20","2374","71.9","2465","74.7","-2.8"
"262","Montana St.","32","13-19","2434","76.1","2524","78.9","-2.8"
"263","UTRGV","32","15-17","2416","75.5","2507","78.3","-2.8"
"","Elon","32","14-18","2346","73.3","2437","76.2","-2.8"
"265","George Washington","33","15-18","2225","67.4","2319","70.3","-2.8"
"266","CSU Bakersfield","30","12-18","1981","66.0","2068","68.9","-2.9"
"267","Long Beach St.","33","15-18","2485","75.3","2586","78.4","-3.1"
"268","St. Francis Brooklyn","31","13-18","2260","72.9","2357","76.0","-3.1"
"269","Lafayette","31","10-21","2207","71.2","2307","74.4","-3.2"
"270","A&M-Corpus Christi","29","11-18","1963","67.7","2057","70.9","-3.2"
"271","UTEP","31","11-20","2094","67.5","2197","70.9","-3.3"
"272","Sacred Heart","31","10-21","2129","68.7","2237","72.2","-3.5"
"273","Akron","32","14-18","2296","71.8","2411","75.3","-3.6"
"274","Richmond","32","12-20","2297","71.8","2418","75.6","-3.8"
"275","UT Martin","31","10-21","2135","68.9","2253","72.7","-3.8"
"276","George Mason","33","16-17","2371","71.8","2497","75.7","-3.8"
"277","Air Force","31","12-19","2124","68.5","2244","72.4","-3.9"
"278","UNCW","32","11-21","2542","79.4","2668","83.4","-3.9"
"279","Central Conn. St.","32","14-18","2171","67.8","2300","71.9","-4.0"
"280","Chattanooga","33","10-23","2289","69.4","2424","73.5","-4.1"
"281","Holy Cross","31","12-19","1972","63.6","2099","67.7","-4.1"
"282","Drexel","33","13-20","2454","74.4","2591","78.5","-4.2"
"283","IUPUI","30","11-19","2047","68.2","2180","72.7","-4.4"
"284","UC Riverside","31","9-22","2024","65.3","2163","69.8","-4.5"
"285","Alcorn","32","11-21","2244","70.1","2388","74.6","-4.5"
"","Cornell","28","12-16","2124","75.9","2250","80.4","-4.5"
"287","Washington St.","31","12-19","2270","73.2","2411","77.8","-4.5"
"","Eastern Ky.","31","11-20","2230","71.9","2371","76.5","-4.5"
"289","Loyola Marymount","31","11-20","2227","71.8","2369","76.4","-4.6"
"290","Presbyterian","32","11-21","2124","66.4","2273","71.0","-4.7"
"291","Portland","32","10-22","2221","69.4","2372","74.1","-4.7"
"292","Oral Roberts","32","11-21","2332","72.9","2484","77.6","-4.8"
"293","Dartmouth","27","7-20","1841","68.2","1970","73.0","-4.8"
"294","Arkansas St.","32","11-21","2369","74.0","2523","78.8","-4.8"
"295","Kennesaw St.","30","10-20","2182","72.7","2328","77.6","-4.9"
"296","Samford","32","10-22","2483","77.6","2639","82.5","-4.9"
"297","UConn","32","14-18","2181","68.2","2340","73.1","-5.0"
"298","Quinnipiac","33","12-21","2364","71.6","2531","76.7","-5.1"
"299","Southern Utah","32","13-19","2416","75.5","2583","80.7","-5.2"
"300","Jackson St.","31","12-20","1933","62.4","2101","67.8","-5.4"
"301","Ark.-Pine Bluff","35","14-21","2307","65.9","2499","71.4","-5.5"
"302","Loyola Maryland","31","9-22","2154","69.5","2326","75.0","-5.5"
"303","Morehead St.","29","8-21","2043","70.4","2204","76.0","-5.6"
"304","The Citadel","32","11-21","2639","82.5","2819","88.1","-5.6"
"305","Santa Clara","31","11-20","2048","66.1","2224","71.7","-5.7"
"306","North Dakota","32","12-20","2427","75.8","2612","81.6","-5.8"
"307","Cleveland St.","35","12-23","2402","68.6","2613","74.7","-6.0"
"308","UMKC","32","10-22","2251","70.3","2447","76.5","-6.1"
"309","North Florida","33","14-19","2668","80.8","2873","87.1","-6.2"
"","Howard","33","10-23","2449","74.2","2654","80.4","-6.2"
"311","Sacramento St.","32","7-25","2157","67.4","2358","73.7","-6.3"
"312","Little Rock","32","7-25","2038","63.7","2242","70.1","-6.4"
"313","Incarnate Word","28","7-21","1978","70.6","2163","77.3","-6.6"
"314","Omaha","31","9-22","2373","76.5","2588","83.5","-6.9"
"315","Colorado St.","32","11-21","2314","72.3","2537","79.3","-7.0"
"316","Detroit Mercy","32","8-24","2516","78.6","2743","85.7","-7.1"
"317","Cal Poly","31","9-22","2082","67.2","2302","74.3","-7.1"
"318","Western Caro.","32","13-19","2190","68.4","2419","75.6","-7.2"
"319","Pepperdine","32","6-26","2283","71.3","2516","78.6","-7.3"
"320","South Fla.","32","10-22","2026","63.3","2260","70.6","-7.3"
"321","Savannah St.","32","15-17","2754","86.1","2991","93.5","-7.4"
"","Youngstown St.","32","8-24","2410","75.3","2647","82.7","-7.4"
"323","CSUN","30","6-24","1983","66.1","2206","73.5","-7.4"
"324","Siena","32","8-24","2166","67.7","2405","75.2","-7.5"
"325","Rice","31","7-24","2114","68.2","2347","75.7","-7.5"
"326","Houston Baptist","31","6-25","2382","76.8","2617","84.4","-7.6"
"327","Fordham","31","9-22","1931","62.3","2179","70.3","-8.0"
"328","Maine","32","6-26","2140","66.9","2408","75.3","-8.4"
"329","East Carolina","30","10-20","1993","66.4","2246","74.9","-8.4"
"330","American","30","6-24","1961","65.4","2215","73.8","-8.5"
"331","Charlotte","29","6-23","2066","71.2","2317","79.9","-8.7"
"332","VMI","30","9-21","1954","65.1","2214","73.8","-8.7"
"333","Marist","31","6-25","2239","72.2","2515","81.1","-8.9"
"334","SIUE","30","9-21","2090","69.7","2362","78.7","-9.1"
"335","USC Upstate","32","7-25","2424","75.8","2723","85.1","-9.3"
"336","South Carolina St.","32","10-22","2355","73.6","2660","83.1","-9.5"
"337","San Jose St.","30","4-26","1974","65.8","2260","75.3","-9.5"
"338","California","32","8-24","2166","67.7","2483","77.6","-9.9"
"339","Alabama St.","31","8-23","2129","68.7","2437","78.6","-9.9"
"340","Florida A&M","34","9-25","2343","68.9","2684","78.9","-10.0"
"341","Pittsburgh","32","8-24","1985","62.0","2316","72.4","-10.3"
"342","Longwood","33","7-26","2088","63.3","2445","74.1","-10.8"
"343","Northern Ariz.","32","5-27","2100","65.6","2512","78.5","-12.9"
"344","Mississippi Val.","32","4-28","2075","64.8","2500","78.1","-13.3"
"","Delaware St.","32","4-28","2034","63.6","2459","76.8","-13.3"
"346","Bryant","31","3-28","2169","70.0","2582","83.3","-13.3"
"347","Northwestern St.","29","4-25","1868","64.4","2264","78.1","-13.7"
"348","Coppin St.","32","5-27","1945","60.8","2384","74.5","-13.7"
"349","UMES","32","7-25","1992","62.3","2473","77.3","-15.0"
"350","Alabama A&M","31","3-28","1873","60.4","2367","76.4","-15.9"
"351","Chicago St.","32","3-29","2171","67.8","2756","86.1","-18.3"


      <script type="text/javascript">
var gaJsHost = (("https:" == document.location.protocol) ? "https://ssl." : "http://www.");document.write(unescape("%3Cscript src='" + gaJsHost + "google-analytics.com/ga.js' type='text/javascript'%3E%3C/script%3E"));
</script>
<script type="text/javascript">
try {
var pageTracker = _gat._getTracker("UA-2045383-4");                        
pageTracker._trackPageview();                                              
} catch(err) {}
</script>

      
