"Rank","Name","GM","W-L","PTS","PPG","OPP PTS","OPP PPG","SCR MAR"
"","Minnesota","31","17-14","2296","74.1","2086","67.3","6.8"
"63","VCU","31","22-9","2240","72.3","2031","65.5","6.7"
"64","Buffalo","30","21-9","2243","74.8","2042","68.1","6.7"
"65","Maryland","31","26-5","2160","69.7","1956","63.1","6.6"
"66","Vanderbilt","31","19-12","2169","70.0","1966","63.4","6.5"
"67","William & Mary","32","20-12","2347","73.3","2138","66.8","6.5"
"68","Eastern Mich.","32","20-12","2222","69.4","2014","62.9","6.5"
"69","Georgetown","29","20-9","2069","71.3","1884","65.0","6.4"
"70","LSU","31","22-9","2288","73.8","2094","67.5","6.3"
"","Purdue","31","20-11","2193","70.7","1999","64.5","6.3"
"","TCU","31","17-14","2123","68.5","1929","62.2","6.3"
"73","Indiana","31","19-12","2417","78.0","2226","71.8","6.2"
"74","Winthrop","32","19-13","2356","73.6","2159","67.5","6.2"
"75","Illinois St.","33","21-12","2267","68.7","2064","62.5","6.2"
"76","UTEP","30","21-9","2083","69.4","1899","63.3","6.1"
"77","George Washington","31","20-11","2086","67.3","1899","61.3","6.0"
"78","Wyoming","31","22-9","1914","61.7","1729","55.8","6.0"
"79","New Hampshire","31","19-12","2071","66.8","1889","60.9","5.9"
"80","Oregon","31","23-8","2357","76.0","2176","70.2","5.8"
"81","Stony Brook","33","23-10","2170","65.8","1979","60.0","5.8"
"82","Stanford","30","18-12","2187","72.9","2014","67.1","5.8"
"83","Chattanooga","32","22-10","2325","72.7","2141","66.9","5.8"
"84","NC State","31","19-12","2189","70.6","2012","64.9","5.7"
"85","Oklahoma St.","30","18-12","2038","67.9","1868","62.3","5.7"
"86","Saint Mary's (CA)","30","21-9","2077","69.2","1909","63.6","5.6"
"87","High Point","31","22-9","2272","73.3","2101","67.8","5.5"
"","Miami (FL)","31","20-11","2135","68.9","1964","63.4","5.5"
"89","Albany (NY)","31","23-8","2045","66.0","1877","60.5","5.4"
"90","Akron","32","19-13","2212","69.1","2039","63.7","5.4"
"91","Texas A&M","30","20-10","2024","67.5","1863","62.1","5.4"
